x,y,z,t,layer,id
-20.983617737262946,-247.48326235129664,91.92696660614838,3,1,41
-21.596615337929407,-248.81496869798755,92.11630918019767,4,1,41
8.357485715555043,-151.159543348729,223.77775227373158,1,1,42
10.355495386340625,-151.1274747120746,223.6401837424561,2,1,42
11.604074541876937,-151.95624535282496,223.2046596133527,3,1,42
12.017135534130865,-152.28299581072525,222.66708718172447,4,1,42
50.870969494283024,-160.56653070163716,204.11209001846905,1,1,43
53.152972175495805,-160.41000496229526,202.47312500404217,2,1,43
52.868265409424936,-161.40057279166578,202.2098476524294,3,1,43
53.423911982308866,-161.9860562658985,201.03174764258458,4,1,43
15.499979646757103,-180.15273533304025,200.7579279259307,1,1,44
16.60934409040292,-179.72796370180757,201.58548064005947,2,1,44
16.998638957891394,-180.4185386039184,200.9467781407096,3,1,44
18.06118416253107,-181.68112208903437,199.86207701943496,4,1,44
-66.84377626843232,-221.54644021365448,138.90788980923813,1,1,45
-67.0561842452269,-222.74769763649277,139.40348291154632,2,1,45
-66.53269286350974,-224.80215046783712,138.97908927743188,3,1,45
-65.18417194982885,-225.99436056583892,137.6539583738415,4,1,45
-26.120391468637322,-255.33263061510112,72.76227481772858,1,1,46
-24.14283209733304,-254.7494754913616,72.00376629820676,2,1,46
-25.65416716078991,-255.22227237286035,74.6545056359065,3,1,46
-24.16997939044586,-255.40867257590995,71.95330425475345,4,1,46
-14.665420263614863,-257.37044633721746,70.49625986305537,1,1,47
-12.465063056488646,-257.41356576872204,69.96122909590903,2,1,47
-12.294332404974206,-257.98093346631686,68.88289076060963,3,1,47
-11.102526311646251,-258.26884801350565,67.59000922696256,4,1,47
35.14822316991209,-157.4951799256344,206.27531964803381,1,1,48
37.20460460758676,-157.69602483051725,204.9492751939905,2,1,48
37.42245323379039,-158.6773306476716,204.69202219508227,3,1,48
38.00663564847907,-159.661236745482,202.96637025276536,4,1,48
42.86763870273418,-136.14536960049827,224.30678295283343,1,1,49
44.23352895993172,-136.09944503767764,223.73409482848587,2,1,49
44.22377253694114,-136.47400833015126,223.49982987702367,3,1,49
44.42287838355574,-137.20797333040437,223.03495209547935,4,1,49
30.239107839785042,-121.16417599605445,233.26845670441088,1,1,50
30.917637708093313,-120.69718793868935,233.5421291588641,2,1,50
31.071401956833313,-120.72416029798866,233.5419828377836,3,1,50
30.469815705630477,-120.37074579894708,233.39727374459972,4,1,50
49.25742509171004,-176.26029869122155,190.13802623050734,1,1,51
51.03231966769466,-176.0053700382546,188.78896850505748,2,1,51
50.31959670866625,-176.40215077725887,190.54419555767095,3,1,51
52.66610187820419,-177.21043188494997,187.5149273487378,4,1,51
24.96900228964781,-180.16857839713535,189.7231075293069,1,1,52
27.59655330711262,-179.9263876118529,187.91074457020534,2,1,52
26.545504039466902,-181.529204099593,187.27966190242023,3,1,52
29.03424160124064,-182.42993354205754,185.90743510878022,4,1,52
-54.45373625881222,-225.68523968579206,135.05655387355995,1,1,53
-52.82617651604034,-225.12258890378845,135.003201955083,2,1,53
-52.80826384664267,-226.09938972731914,137.6164926883288,3,1,53
-51.971289678994594,-226.86425191082967,137.09783415661684,4,1,53
-81.57624095406388,-209.08412231036948,138.42409154127708,1,1,54
-83.195928360642,-206.35646954362318,136.97063735614302,2,1,54
-86.53338631919365,-206.4124733302375,142.30773420692014,3,1,54
-84.43796431360289,-206.6768045870002,142.4846407911724,4,1,54
-101.62404664840899,-207.1147850215032,143.03285704675295,1,1,55
-100.25872185709906,-206.61162847929734,142.66654624014106,2,1,55
-100.98939341688961,-207.44149761741227,143.47419201060166,3,1,55
-100.65416765092738,-208.66048543088377,142.33181202373663,4,1,55
-21.45624446384535,-236.60074457503694,104.26654164144212,1,1,56
-19.515011619047783,-237.0767846173632,102.34415212127857,2,1,56
-18.55699437832684,-238.48638575276843,103.53322015950144,3,1,56
-18.427996409251435,-240.21791952440978,102.4931081370971,4,1,56
12.99870377057034,-158.95399484701352,211.7796408053925,1,1,57
10.858278523312535,-156.68466038946863,211.78701735266208,2,1,57
9.572249771497333,-156.50645992402164,212.7936884070463,3,1,57
11.049351488697074,-157.7446998228249,211.55377038044412,4,1,57
41.72566444370883,-165.58894020229133,195.86423051798766,1,1,58
43.924160181626554,-165.39917565304378,194.36320669370195,2,1,58
43.91514135002663,-166.64569290894437,194.26329106908196,3,1,58
45.20321768695267,-167.4317356021335,192.86857933186104,4,1,58
35.23755214297094,-173.86502994335638,199.75096621402508,1,1,59
35.846675345850954,-173.3333316303475,200.93881933859151,2,1,59
36.54425114022504,-174.09586271216088,199.54986476272248,3,1,59
37.63031541082286,-174.64497320753387,198.4714997635847,4,1,59
27.593925900542754,-171.71508145955588,190.99462888709053,1,1,60
30.108344801582692,-171.77829382890766,189.65332116612205,2,1,60
29.70370609085006,-173.25644978664488,189.75298615941475,3,1,60
31.613779254748835,-173.58153989546724,188.5160992054233,4,1,60
34.551560446997556,-178.27464641502542,188.46821836760753,1,1,61
37.07398607039573,-178.32789834800494,186.64983446603017,2,1,61
36.281257596692264,-179.44934010341217,187.69843323664003,3,1,61
37.84874955902186,-180.08456409702063,185.7906848261324,4,1,61
18.55706631942266,-198.33440525688354,179.9127767186061,1,1,62
19.80744850244735,-198.1478447171574,178.95210224552866,2,1,62
19.17027669849011,-200.2549351126518,179.55770679406345,3,1,62
21.13929146405541,-200.70176416033755,178.46857476674913,4,1,62
22.879841135803616,-209.28686681086964,165.67092119359398,1,1,63
24.785230226077676,-209.021001756151,165.01172764090362,2,1,63
25.223478688444644,-209.97718565684067,165.01876766409842,3,1,63
26.694690869192513,-210.2377240545746,163.7742574520555,4,1,63
20.632925468552642,-201.51553558985105,158.85183503506192,1,1,64
21.148138730431313,-202.60204184734835,158.19264785390294,2,1,64
20.605215252588735,-203.3914429470007,161.7719397048702,3,1,64
21.480144293352453,-203.9071061172876,160.2399755532118,4,1,64
-90.85648276017892,-213.1489147730559,138.80748853568673,1,1,65
-89.04314017696994,-212.969226903493,138.08831220800414,2,1,65
-88.74733158148966,-215.4993065925588,137.00102141665838,3,1,65
-88.71187114183945,-216.19942146026867,137.95793312350756,4,1,65
-11.691304136084597,-241.21374687058432,102.07581112023541,1,1,66
-7.3389377122898125,-241.150388286247,101.22837554596232,2,1,66
-7.032674391434149,-242.2416314226145,100.7976531618191,3,1,66
-4.065270990984864,-243.91778722685797,99.94530132655214,4,1,66
-18.4490886963576,-241.85161608872423,112.46879874158307,1,1,67
-17.38600008689233,-241.68071612217037,112.7780438973606,2,1,67
-16.814143133830825,-242.24465221919985,113.87919791449664,3,1,67
-14.780195758479195,-243.5140614876767,111.98209773400447,4,1,67
0.7710891417854668,-242.27304770796368,87.29684821603854,1,1,68
2.1405899367538623,-242.97452059291177,85.06288768203451,2,1,68
1.7483228020017592,-243.60952027909067,86.1072639782339,3,1,68
3.2225707587569588,-242.1312168147191,86.7639007259638,4,1,68
-5.516665622954612,-248.44765324800613,95.91558898504678,1,1,69
-3.7112301612596212,-248.64227389313913,94.50797630354819,2,1,69
-3.825885573053675,-249.77016062052257,93.79645565063893,3,1,69
-3.29702531710668,-251.21712927649705,92.69117579503987,4,1,69
-7.648800053054927,-237.61763776918323,84.37939843094978,1,1,70
-4.990370549408951,-239.31947922434503,82.11080398761622,2,1,70
-5.160291766857533,-242.92962323318818,81.4425785927102,3,1,70
-3.613489627010644,-244.5002382343857,80.091136387603,4,1,70
-6.305023019693273,-253.33343074693317,80.26401395740228,1,1,71
-4.099887333591276,-253.56618083104794,78.92406867198129,2,1,71
-3.856752006908799,-254.73693084709853,78.67622196264128,3,1,71
-3.041876931832199,-255.39956098324237,76.59808363349728,4,1,71
-7.776819339632816,-249.07036983537398,69.05959936952897,1,1,72
-3.116167287460975,-249.4816968048313,68.85620618233523,2,1,72
-0.6802974907762689,-249.87536115332125,71.09162897293596,3,1,72
-0.49422666563482665,-250.4197798559814,70.62728904268117,4,1,72
-9.192696491043755,-249.44871304753127,55.13858786511853,1,1,73
-7.837065561763687,-248.22989269616158,53.83561471737608,2,1,73
-7.405943907121895,-248.53532829494162,52.08783997650792,3,1,73
-4.917107452722398,-249.7730472906543,50.94692472867116,4,1,73
-5.537150367491897,-259.77044772917446,55.136200324689625,1,1,74
-3.202267972717017,-260.13575037362335,54.025125330782046,2,1,74
-1.5480244353450274,-260.03316725766035,52.79233174336126,3,1,74
0.347501454327805,-260.9130968765831,50.72278129500713,4,1,74
9.85693577140541,-262.6668427280441,8.514004355830236,1,1,75
12.092171451478357,-261.9893420284266,6.755147980704338,2,1,75
13.214847375882307,-262.11474997357783,6.775240241593568,3,1,75
13.190758810100412,-262.29238349134033,7.920627821989614,4,1,75
-37.675462468938726,-216.88247699502068,116.44189645952174,1,1,76
-36.563171278220864,-219.14048662028839,114.80297676068477,2,1,76
-34.967064994862056,-219.77539295628696,109.24105862343393,3,1,76
-33.91569409315862,-220.930251796712,108.07368625032348,4,1,76
-64.97299050155087,-209.61360374580602,137.78817580735208,1,1,77
